reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 1.00  ; episode length:106
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:1
reward : 0.00  ; episode length:115
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:118
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:123
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:119
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 1.00  ; episode length:165
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 1.00  ; episode length:157
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
reward : 0.00  ; episode length:200
